municipality:rel,province:rel,country:rel,age:attr,gender:rel,unemployment,date
Santa Pola,Alicante,Spain,25-44,Femenino,797.0,2010-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,433.0,2010-01-01
Altea,Alicante,Spain,<25,Masculino,83.0,2011-01-01
Altea,Alicante,Spain,25-44,Masculino,556.0,2011-01-01
Altea,Alicante,Spain,>=45,Masculino,371.0,2011-01-01
Altea,Alicante,Spain,<25,Femenino,61.0,2011-01-01
Altea,Alicante,Spain,25-44,Femenino,560.0,2011-01-01
Altea,Alicante,Spain,>=45,Femenino,293.0,2011-01-01
Benidorm,Alicante,Spain,<25,Masculino,378.0,2011-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1995.0,2011-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1278.0,2011-01-01
Benidorm,Alicante,Spain,<25,Femenino,333.0,2011-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1945.0,2011-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1439.0,2011-01-01
Elda,Alicante,Spain,<25,Masculino,495.0,2011-01-01
Elda,Alicante,Spain,25-44,Masculino,1675.0,2011-01-01
Elda,Alicante,Spain,>=45,Masculino,1548.0,2011-01-01
Elda,Alicante,Spain,<25,Femenino,345.0,2011-01-01
Elda,Alicante,Spain,25-44,Femenino,1918.0,2011-01-01
Elda,Alicante,Spain,>=45,Femenino,2454.0,2011-01-01
Petrer,Alicante,Spain,<25,Masculino,348.0,2011-01-01
Petrer,Alicante,Spain,25-44,Masculino,1032.0,2011-01-01
Petrer,Alicante,Spain,>=45,Masculino,891.0,2011-01-01
Petrer,Alicante,Spain,<25,Femenino,238.0,2011-01-01
Petrer,Alicante,Spain,25-44,Femenino,1487.0,2011-01-01
Petrer,Alicante,Spain,>=45,Femenino,1552.0,2011-01-01
Santa Pola,Alicante,Spain,<25,Masculino,215.0,2011-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,870.0,2011-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,467.0,2011-01-01
Santa Pola,Alicante,Spain,<25,Femenino,180.0,2011-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,957.0,2011-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,508.0,2011-01-01
Altea,Alicante,Spain,<25,Masculino,100.0,2012-01-01
Altea,Alicante,Spain,25-44,Masculino,577.0,2012-01-01
Altea,Alicante,Spain,>=45,Masculino,429.0,2012-01-01
Altea,Alicante,Spain,<25,Femenino,65.0,2012-01-01
Altea,Alicante,Spain,25-44,Femenino,581.0,2012-01-01
Altea,Alicante,Spain,>=45,Femenino,367.0,2012-01-01
Benidorm,Alicante,Spain,<25,Masculino,359.0,2012-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1872.0,2012-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1388.0,2012-01-01
Benidorm,Alicante,Spain,<25,Femenino,331.0,2012-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1944.0,2012-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1607.0,2012-01-01
Elda,Alicante,Spain,<25,Masculino,483.0,2012-01-01
Elda,Alicante,Spain,25-44,Masculino,1685.0,2012-01-01
Elda,Alicante,Spain,>=45,Masculino,1576.0,2012-01-01
Elda,Alicante,Spain,<25,Femenino,372.0,2012-01-01
Elda,Alicante,Spain,25-44,Femenino,1847.0,2012-01-01
Elda,Alicante,Spain,>=45,Femenino,2522.0,2012-01-01
Petrer,Alicante,Spain,<25,Masculino,346.0,2012-01-01
Petrer,Alicante,Spain,25-44,Masculino,1069.0,2012-01-01
Petrer,Alicante,Spain,>=45,Masculino,939.0,2012-01-01
Petrer,Alicante,Spain,<25,Femenino,236.0,2012-01-01
Petrer,Alicante,Spain,25-44,Femenino,1404.0,2012-01-01
Petrer,Alicante,Spain,>=45,Femenino,1640.0,2012-01-01
Santa Pola,Alicante,Spain,<25,Masculino,169.0,2012-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,858.0,2012-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,517.0,2012-01-01
Santa Pola,Alicante,Spain,<25,Femenino,135.0,2012-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,964.0,2012-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,609.0,2012-01-01
Altea,Alicante,Spain,<25,Masculino,85,2013-01-01
Altea,Alicante,Spain,25-44,Masculino,542,2013-01-01
Altea,Alicante,Spain,>=45,Masculino,452,2013-01-01
Altea,Alicante,Spain,<25,Femenino,80,2013-01-01
Altea,Alicante,Spain,25-44,Femenino,569,2013-01-01
Altea,Alicante,Spain,>=45,Femenino,431,2013-01-01
Benidorm,Alicante,Spain,<25,Masculino,337,2013-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1830,2013-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1475,2013-01-01
Benidorm,Alicante,Spain,<25,Femenino,323,2013-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1963,2013-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1758,2013-01-01
Elda,Alicante,Spain,<25,Masculino,442,2013-01-01
Elda,Alicante,Spain,25-44,Masculino,1698,2013-01-01
Elda,Alicante,Spain,>=45,Masculino,1646,2013-01-01
Elda,Alicante,Spain,<25,Femenino,359,2013-01-01
Elda,Alicante,Spain,25-44,Femenino,1916,2013-01-01
Elda,Alicante,Spain,>=45,Femenino,2669,2013-01-01
Petrer,Alicante,Spain,<25,Masculino,330,2013-01-01
Petrer,Alicante,Spain,25-44,Masculino,1100,2013-01-01
Petrer,Alicante,Spain,>=45,Masculino,1039,2013-01-01
Petrer,Alicante,Spain,<25,Femenino,241,2013-01-01
Petrer,Alicante,Spain,25-44,Femenino,1438,2013-01-01
Petrer,Alicante,Spain,>=45,Femenino,1821,2013-01-01
Santa Pola,Alicante,Spain,<25,Masculino,177,2013-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,889,2013-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,604,2013-01-01
Santa Pola,Alicante,Spain,<25,Femenino,145,2013-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,998,2013-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,670,2013-01-01
Altea,Alicante,Spain,<25,Masculino,67,2014-01-01
Altea,Alicante,Spain,25-44,Masculino,515,2014-01-01
Altea,Alicante,Spain,>=45,Masculino,453,2014-01-01
Altea,Alicante,Spain,<25,Femenino,71,2014-01-01
Altea,Alicante,Spain,25-44,Femenino,531,2014-01-01
Altea,Alicante,Spain,>=45,Femenino,466,2014-01-01
Benidorm,Alicante,Spain,<25,Masculino,346,2014-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1762,2014-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1555,2014-01-01
Benidorm,Alicante,Spain,<25,Femenino,318,2014-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1867,2014-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1877,2014-01-01
Elda,Alicante,Spain,<25,Masculino,423,2014-01-01
Elda,Alicante,Spain,25-44,Masculino,1459,2014-01-01
Elda,Alicante,Spain,>=45,Masculino,1588,2014-01-01
Elda,Alicante,Spain,<25,Femenino,332,2014-01-01
Elda,Alicante,Spain,25-44,Femenino,1817,2014-01-01
Elda,Alicante,Spain,>=45,Femenino,2654,2014-01-01
Petrer,Alicante,Spain,<25,Masculino,300,2014-01-01
Petrer,Alicante,Spain,25-44,Masculino,984,2014-01-01
Petrer,Alicante,Spain,>=45,Masculino,1038,2014-01-01
Petrer,Alicante,Spain,<25,Femenino,227,2014-01-01
Petrer,Alicante,Spain,25-44,Femenino,1340,2014-01-01
Petrer,Alicante,Spain,>=45,Femenino,1863,2014-01-01
Santa Pola,Alicante,Spain,<25,Masculino,151,2014-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,803,2014-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,645,2014-01-01
Santa Pola,Alicante,Spain,<25,Femenino,131,2014-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,967,2014-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,734,2014-01-01
Altea,Alicante,Spain,<25,Masculino,56,2015-01-01
Altea,Alicante,Spain,25-44,Masculino,466,2015-01-01
Altea,Alicante,Spain,>=45,Masculino,443,2015-01-01
Altea,Alicante,Spain,<25,Femenino,68,2015-01-01
Altea,Alicante,Spain,25-44,Femenino,522,2015-01-01
Altea,Alicante,Spain,>=45,Femenino,490,2015-01-01
Benidorm,Alicante,Spain,<25,Masculino,333,2015-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1630,2015-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1579,2015-01-01
Benidorm,Alicante,Spain,<25,Femenino,262,2015-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1875,2015-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1908,2015-01-01
Elda,Alicante,Spain,<25,Masculino,366,2015-01-01
Elda,Alicante,Spain,25-44,Masculino,1256,2015-01-01
Elda,Alicante,Spain,>=45,Masculino,1521,2015-01-01
Elda,Alicante,Spain,<25,Femenino,290,2015-01-01
Elda,Alicante,Spain,25-44,Femenino,1703,2015-01-01
Elda,Alicante,Spain,>=45,Femenino,2559,2015-01-01
Petrer,Alicante,Spain,<25,Masculino,246,2015-01-01
Petrer,Alicante,Spain,25-44,Masculino,818,2015-01-01
Petrer,Alicante,Spain,>=45,Masculino,954,2015-01-01
Petrer,Alicante,Spain,<25,Femenino,199,2015-01-01
Petrer,Alicante,Spain,25-44,Femenino,1268,2015-01-01
Petrer,Alicante,Spain,>=45,Femenino,1833,2015-01-01
Santa Pola,Alicante,Spain,<25,Masculino,150,2015-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,730,2015-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,603,2015-01-01
Santa Pola,Alicante,Spain,<25,Femenino,135,2015-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,969,2015-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,770,2015-01-01
Altea,Alicante,Spain,<25,Masculino,63,2016-01-01
Altea,Alicante,Spain,25-44,Masculino,374,2016-01-01
Altea,Alicante,Spain,>=45,Masculino,428,2016-01-01
Altea,Alicante,Spain,<25,Femenino,64,2016-01-01
Altea,Alicante,Spain,25-44,Femenino,469,2016-01-01
Altea,Alicante,Spain,>=45,Femenino,465,2016-01-01
Benidorm,Alicante,Spain,<25,Masculino,277,2016-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1459,2016-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1482,2016-01-01
Benidorm,Alicante,Spain,<25,Femenino,230,2016-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1708,2016-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1909,2016-01-01
Elda,Alicante,Spain,<25,Masculino,291,2016-01-01
Elda,Alicante,Spain,25-44,Masculino,1084,2016-01-01
Elda,Alicante,Spain,>=45,Masculino,1380,2016-01-01
Elda,Alicante,Spain,<25,Femenino,219,2016-01-01
Elda,Alicante,Spain,25-44,Femenino,1460,2016-01-01
Elda,Alicante,Spain,>=45,Femenino,2453,2016-01-01
Petrer,Alicante,Spain,<25,Masculino,180,2016-01-01
Petrer,Alicante,Spain,25-44,Masculino,658,2016-01-01
Petrer,Alicante,Spain,>=45,Masculino,880,2016-01-01
Petrer,Alicante,Spain,<25,Femenino,141,2016-01-01
Petrer,Alicante,Spain,25-44,Femenino,1052,2016-01-01
Petrer,Alicante,Spain,>=45,Femenino,1812,2016-01-01
Santa Pola,Alicante,Spain,<25,Masculino,122,2016-01-01
Santa Pola,Alicante,Spain,25-44,Masculino,642,2016-01-01
Santa Pola,Alicante,Spain,>=45,Masculino,590,2016-01-01
Santa Pola,Alicante,Spain,<25,Femenino,113,2016-01-01
Santa Pola,Alicante,Spain,25-44,Femenino,849,2016-01-01
Santa Pola,Alicante,Spain,>=45,Femenino,788,2016-01-01
Altea,Alicante,Spain,<25,Masculino,64,2017-01-01
Altea,Alicante,Spain,25-44,Masculino,335,2017-01-01
Altea,Alicante,Spain,>=45,Masculino,401,2017-01-01
Altea,Alicante,Spain,<25,Femenino,44,2017-01-01
Altea,Alicante,Spain,25-44,Femenino,469,2017-01-01
Altea,Alicante,Spain,>=45,Femenino,451,2017-01-01
Benidorm,Alicante,Spain,<25,Masculino,225,2017-01-01
Benidorm,Alicante,Spain,25-44,Masculino,1306,2017-01-01
Benidorm,Alicante,Spain,>=45,Masculino,1385,2017-01-01
Benidorm,Alicante,Spain,<25,Femenino,185,2017-01-01
Benidorm,Alicante,Spain,25-44,Femenino,1575,2017-01-01
Benidorm,Alicante,Spain,>=45,Femenino,1831,2017-01-01
Elda,Alicante,Spain,<25,Masculino,243,2017-01-01
Elda,Alicante,Spain,25-44,Masculino,917,2017-01-01
Elda,Alicante,Spain,>=45,Masculino,1268,2017-01-01
Elda,Alicante,Spain,<25,Femenino,179,2017-01-01
Elda,Alicante,Spain,25-44,Femenino,1298,2017-01-01
Elda,Alicante,Spain,>=45,Femenino,2379,2017-01-01
Petrer,Alicante,Spain,<25,Masculino,141,2017-01-01
Petrer,Alicante,Spain,25-44,Masculino,546,2017-01-01
Petrer,Alicante,Spain,>=45,Masculino,825,2017-01-01
Petrer,Alicante,Spain,<25,Femenino,114,2017-01-01
Petrer,Alicante,Spain,25-44,Femenino,896,2017-01-01
Petrer,Alicante,Spain,>=45,Femenino,1776,2017-01-01
Santa Pola,Alicante,Spain,<25,Masculino,98,2017-01-01
